ADATA AD2S800B2G5-R 2 GB DDR2 800MHz
ADATA AD2U800B1G5-RHS 1 GB DDR2 800MHz
ADATA AD3S1066B2G7-R 2 GB DDR3 1066MHz
ADATA AD3S1333B2G9-R 2 GB DDR3 1333MHz
ADATA AD3U1333B2G9-DRH 4 GB DDR3 1333MHz
ADATA AD3U1333C4G9-2 8 GB DDR3 1333MHz
ADATA AD3U1600W8G11-R 8 GB DDR3 1600MHz
ADATA AD4S213338G15-2 16 GB DDR4 2133MHz
ADATA AD4S2400316G17-2 32 GB DDR4 2400MHz
ADATA AD4S2400316G17-R 16 GB DDR4 2400MHz
ADATA AD4S240038G17-2 16 GB DDR4 2400MHz
ADATA AD4S240038G17-R 8 GB DDR4 2400MHz
ADATA AD4S2666316G19-D 32 GB DDR4 2666MHz
ADATA AD4S266638G19-R 8 GB DDR4 2666MHz
ADATA AD4U2400W4G17-S 4 GB DDR4 2400MHz
ADATA AD4U266638G19-S 8 GB DDR4 2666MHz
ADATA ADDS1600W4G11-S 4 GB DDR3 1600MHz
ADATA AX4U2400316G16-DRG 32 GB DDR4 2400MHz
ADATA AX4U2400W4G16-DRG 8 GB DDR4 2400MHz
ADATA AX4U2666W4G16-DRG 8 GB DDR4 2666MHz
ADATA AX4U3000316G16-DRG 32 GB DDR4 3000MHz
ADATA AX4U3000W4G16-DGZ 8 GB DDR4 3000MHz
ADATA AX4U3000W4G16-QGZ 16 GB DDR4 3000MHz
ADATA AX4U3000W8G16-DGZ 16 GB DDR4 3000MHz
ADATA AX4U3000W8G16-QGZ 32 GB DDR4 3000MHz
ADATA AX4U3200W4G16-DGZ 8 GB DDR4 3200MHz
ADATA AX4U3200W4G16-QGZ 16 GB DDR4 3200MHz
ADATA AX4U3300W4G16-DGZ 8 GB DDR4 3300MHz
ADATA AX4U3300W4G16-QGZ 16 GB DDR4 3300MHz
ADATA AX4U3333W4G16-DGZ 8 GB DDR4 3333MHz
ADATA AX4U3333W4G16-QGZ 16 GB DDR4 3333MHz
ADATA Flame 4 GB DDR4 2400MHz
ADATA Gaming Series 1 GB DDR3 1600MHz
ADATA Gaming Series 2 GB DDR3 1600MHz
ADATA Gaming Series 4 GB DDR3 1333MHz
ADATA Gaming Series 4 GB DDR3 1600MHz
ADATA Gaming Series 6 GB DDR3 1600MHz
ADATA Plus Series 4 GB DDR3 1600MHz
ADATA Plus Series 6 GB DDR3 1600MHz
ADATA Premier 16 GB DDR4 2666MHz
ADATA Premier 8 GB DDR4 2400MHz
ADATA Premier 8 GB DDR4 2133MHz
ADATA Premier Series 16 GB DDR3 1600MHz
ADATA Premier Series 16 GB DDR3 1600MHz
ADATA Premier Series 16 GB DDR3 1333MHz
ADATA Premier Series 16 GB DDR3 1600MHz
ADATA Premier Series 4 GB DDR3 1333MHz
ADATA Premier Series 4 GB DDR3 1333MHz
ADATA Premier Series 4 GB DDR2 800MHz
ADATA Premier Series 8 GB DDR3 1600MHz
ADATA Premier Series 8 GB DDR3 1333MHz
ADATA Premier Series 8 GB DDR3 1333MHz
ADATA Supreme Series 2 GB DDR2 800MHz
ADATA Supreme Series 4 GB DDR3 1333MHz
ADATA Supreme Series 8 GB DDR3 1333MHz
ADATA XPG GAMMIX D10 8 GB DDR4 3000MHz
ADATA XPG GAMMIX D10 8 GB DDR4 2666MHz
ADATA XPG GAMMIX D10 8 GB DDR4 2400MHz
ADATA XPG GAMMIX D10 8 GB DDR4 3000MHz
ADATA XPG GAMMIX D30 16 GB DDR4 3600MHz
ADATA XPG GAMMIX D30 16 GB DDR4 3000MHz
ADATA XPG GAMMIX D30 16 GB DDR4 3200MHz
ADATA XPG GAMMIX D30 16 GB DDR4 3600MHz
ADATA XPG GAMMIX D30 16 GB DDR4 3000MHz
ADATA XPG GAMMIX D30 16 GB DDR4 3200MHz
ADATA XPG GAMMIX D30 32 GB DDR4 3000MHz
ADATA XPG GAMMIX D30 32 GB DDR4 3000MHz
ADATA XPG GAMMIX D30 32 GB DDR4 3200MHz
ADATA XPG Gaming Series 12 GB DDR3 1600MHz
ADATA XPG Gaming Series 16 GB DDR3 1333MHz
ADATA XPG Gaming Series 16 GB DDR3 1600MHz
ADATA XPG Gaming Series 16 GB DDR3 2133MHz
ADATA XPG Gaming Series 4 GB DDR3 2000MHz
ADATA XPG Gaming Series 4 GB DDR3 1333MHz
ADATA XPG Gaming Series 4 GB DDR3 1600MHz
ADATA XPG Gaming Series 6 GB DDR3 2000MHz
ADATA XPG Gaming Series 8 GB DDR3 1600MHz
ADATA XPG Gaming Series 8 GB DDR3 1600MHz
ADATA XPG Gaming Series 8 GB DDR3 2133MHz
ADATA XPG Gaming Series 8 GB DDR3 1600MHz
ADATA XPG Gaming Series 8 GB DDR3 1600MHz
ADATA XPG Gaming Series v2.0 16 GB DDR3 2400MHz
ADATA XPG Gaming Series v2.0 4 GB DDR3 1600MHz
ADATA XPG Gaming Series v2.0 6 GB DDR3 1600MHz
ADATA XPG Gaming Series v2.0 8 GB DDR3 2000MHz
ADATA XPG Gaming Series v2.0 8 GB DDR3 1866MHz
ADATA XPG Gaming Series v2.0 8 GB DDR3 2400MHz
ADATA XPG Gammix D10 16 GB DDR4 3200MHz
ADATA XPG Plus Series 8 GB DDR3 1333MHz
ADATA XPG SPECTRIX D40 16 GB DDR4 3200MHz
ADATA XPG SPECTRIX D41 16 GB DDR4 3600MHz
ADATA XPG SPECTRIX D41 16 GB DDR4 3200MHz
ADATA XPG SPECTRIX D41 16 GB DDR4 3000MHz
ADATA XPG SPECTRIX D41 16 GB DDR4 2666MHz
ADATA XPG SPECTRIX D41 16 GB DDR4 2666MHz
ADATA XPG SPECTRIX D41 16 GB DDR4 2666MHz
ADATA XPG SPECTRIX D41 16 GB DDR4 3000MHz
ADATA XPG SPECTRIX D41 16 GB DDR4 3200MHz
ADATA XPG SPECTRIX D41 16 GB DDR4 3600MHz
ADATA XPG SPECTRIX D41 32 GB DDR4 3000MHz
ADATA XPG SPECTRIX D41 32 GB DDR4 2666MHz
ADATA XPG SPECTRIX D41 32 GB DDR4 2666MHz
ADATA XPG SPECTRIX D41 32 GB DDR4 3200MHz
ADATA XPG SPECTRIX D41 8 GB DDR4 3000MHz
ADATA XPG SPECTRIX D50 16 GB DDR4 3600MHz
ADATA XPG SPECTRIX D50 16 GB DDR4 3200MHz
ADATA XPG SPECTRIX D50 16 GB DDR4 4133MHz
ADATA XPG SPECTRIX D50 32 GB DDR4 3200MHz
ADATA XPG SPECTRIX D50 32 GB DDR4 3000MHz
ADATA XPG SPECTRIX D50 32 GB DDR4 3600MHz
ADATA XPG SPECTRIX D60G 16 GB DDR4 3000MHz
ADATA XPG SPECTRIX D60G 16 GB DDR4 3200MHz
ADATA XPG SPECTRIX D60G 16 GB DDR4 3200MHz
ADATA XPG SPECTRIX D60G 16 GB DDR4 3600MHz
ADATA XPG SPECTRIX D60G 16 GB DDR4 3600MHz
ADATA XPG SPECTRIX D60G 16 GB DDR4 3600MHz
ADATA XPG SPECTRIX D60G 32 GB DDR4 3200MHz
ADATA XPG SPECTRIX D80 16 GB DDR4 3600MHz
ADATA XPG SPECTRIX D80 16 GB DDR4 3000MHz
ADATA XPG SPECTRIX D80 16 GB DDR4 3200MHz
ADATA XPG Spectrix D40 16 GB DDR4 3000MHz
ADATA XPG V1.0 16 GB DDR3 1600MHz
ADATA XPG V1.0 16 GB DDR3 1600MHz
ADATA XPG V1.0 16 GB DDR3 1600MHz
ADATA XPG V1.0 16 GB DDR3 1866MHz
ADATA XPG V1.0 16 GB DDR3 2133MHz
ADATA XPG V1.0 16 GB DDR3 1600MHz
ADATA XPG V1.0 4 GB DDR3 1600MHz
ADATA XPG V1.0 4 GB DDR3 1600MHz
ADATA XPG V1.0 4 GB DDR3 1600MHz
ADATA XPG V1.0 8 GB DDR3 1866MHz
ADATA XPG V1.0 8 GB DDR3 1600MHz
ADATA XPG V1.0 8 GB DDR3 1600MHz
ADATA XPG V1.0 8 GB DDR3 1600MHz
ADATA XPG V1.0 8 GB DDR3 1600MHz
ADATA XPG V1.0 8 GB DDR3 1600MHz
ADATA XPG V1.0 8 GB DDR3 2133MHz
ADATA XPG V1.0 8 GB DDR3 1600MHz
ADATA XPG V1.0 8 GB DDR3 1600MHz
ADATA XPG V2 16 GB DDR3 1600MHz
ADATA XPG V2 16 GB DDR3 2400MHz
ADATA XPG V2 16 GB DDR3 1866MHz
ADATA XPG V2 16 GB DDR3 2400MHz
ADATA XPG V2 16 GB DDR3 2800MHz
ADATA XPG V2 16 GB DDR3 2800MHz
ADATA XPG V2 16 GB DDR3 1600MHz
ADATA XPG V2 16 GB DDR3 1866MHz
ADATA XPG V2 16 GB DDR3 2600MHz
ADATA XPG V2 16 GB DDR3 2600MHz
ADATA XPG V2 8 GB DDR3 2400MHz
ADATA XPG V2 8 GB DDR3 1600MHz
ADATA XPG V2 8 GB DDR3 2400MHz
ADATA XPG V2 8 GB DDR3 1866MHz
ADATA XPG V2 8 GB DDR3 1866MHz
ADATA XPG V2 8 GB DDR3 2800MHz
ADATA XPG V2 8 GB DDR3 2600MHz
ADATA XPG V2 8 GB DDR3 3100MHz
ADATA XPG V2 8 GB DDR3 1600MHz
ADATA XPG V2 8 GB DDR3 2800MHz
ADATA XPG V2 8 GB DDR3 2600MHz
ADATA XPG V3 16 GB DDR3 2133MHz
ADATA XPG Z1 16 GB DDR4 2400MHz
ADATA XPG Z1 16 GB DDR4 3000MHz
ADATA XPG Z1 16 GB DDR4 2133MHz
ADATA XPG Z1 16 GB DDR4 2133MHz
ADATA XPG Z1 16 GB DDR4 2133MHz
ADATA XPG Z1 16 GB DDR4 2666MHz
ADATA XPG Z1 16 GB DDR4 3000MHz
ADATA XPG Z1 16 GB DDR4 2800MHz
ADATA XPG Z1 16 GB DDR4 2133MHz
ADATA XPG Z1 16 GB DDR4 2400MHz
ADATA XPG Z1 16 GB DDR4 2800MHz
ADATA XPG Z1 16 GB DDR4 3200MHz
ADATA XPG Z1 16 GB DDR4 3200MHz
ADATA XPG Z1 32 GB DDR4 2133MHz
ADATA XPG Z1 32 GB DDR4 2400MHz
ADATA XPG Z1 32 GB DDR4 2800MHz
ADATA XPG Z1 32 GB DDR4 2400MHz
ADATA XPG Z1 32 GB DDR4 2133MHz
ADATA XPG Z1 32 GB DDR4 3200MHz
ADATA XPG Z1 8 GB DDR4 2133MHz
ADATA XPG Z1 8 GB DDR4 2800MHz
ADATA XPG Z1 8 GB DDR4 2133MHz
ADATA XPG Z1 8 GB DDR4 2400MHz
ADATA XPG™ Gaming v2.0 Series 8 GB DDR3 2400MHz
AMD AE34G1609U1 4 GB DDR3 1600MHz
AMD AE38G1609U1K 8 GB DDR3 1600MHz
AMD AE38G1609U2 8 GB DDR3 1600MHz
AMD AG316G2130U2K 16 GB DDR3 2133MHz
AMD AP38G1869U1K 8 GB DDR3 1866MHz
AMD ASH1333U/8GB 8 GB DDR3 1333MHz
AMD Entertainment Edition 16 GB DDR3 1600MHz
AMD Entertainment Edition 16 GB DDR3 1333MHz
AMD Entertainment Edition 16 GB DDR3 1600MHz
AMD Entertainment Edition 16 GB DDR3 1600MHz
AMD Entertainment Edition 2 GB DDR3 1600MHz
AMD Entertainment Edition 2 GB DDR3 1600MHz
AMD Entertainment Edition 2 GB DDR3 1333MHz
AMD Entertainment Edition 2 GB DDR3 1600MHz
AMD Entertainment Edition 2 GB DDR3 1333MHz
AMD Entertainment Edition 4 GB DDR3 1333MHz
AMD Entertainment Edition 4 GB DDR3 1600MHz
AMD Entertainment Edition 4 GB DDR3 1333MHz
AMD Entertainment Edition 4 GB DDR3 1600MHz
AMD Entertainment Edition 4 GB DDR3 1600MHz
AMD Entertainment Edition 4 GB DDR3 1333MHz
AMD Entertainment Edition 8 GB DDR3 1600MHz
AMD Entertainment Edition 8 GB DDR3 1333MHz
AMD Performance Edition 16 GB DDR3 1866MHz
AMD Performance Edition 4 GB DDR3 1600MHz
AMD Performance Edition 4 GB DDR3 1333MHz
AMD Performance Edition 8 GB DDR3 1333MHz
AMD Performance Edition 8 GB DDR3 1600MHz
AMD Performance Edition 8 GB DDR3 1866MHz
AMD R5 Entertainment 16 GB DDR3 1600MHz
AMD R5 Entertainment 4 GB DDR3 1600MHz
AMD R5 Entertainment 8 GB DDR3 1600MHz
AMD R5 Entertainment 8 GB DDR3 1600MHz
AMD R5 Entertainment Series 16 GB DDR3 1600MHz
AMD R5 Entertainment Series 4 GB DDR3 1600MHz
AMD R5 Entertainment Series 8 GB DDR3 1600MHz
AMD R5 Entertainment Series 8 GB DDR3 1600MHz
AMD R7 Performance 4 GB DDR4 2400MHz
AMD R7 Performance 4 GB DDR4 2133MHz
AMD R7 Performance 8 GB DDR4 2400MHz
AMD R7 Performance 8 GB DDR4 2133MHz
AMD R9 2400 16 GB DDR3 2400MHz
AMD R9 Gamer Series 8 GB DDR3 2400MHz
AMD RG2133 Gamer Series 16 GB DDR3 2133MHz
AMD Radeon R3 Value Series 16 GB DDR3 1333MHz
AMD Radeon R3 Value Series 4 GB DDR3 1333MHz
AMD Radeon R3 Value Series 8 GB DDR3 1333MHz
AMD Radeon R3 Value Series 8 GB DDR3 1333MHz
AMD Radeon R5 Entertainment Series 16 GB DDR3 1600MHz
AMD Radeon R5 Entertainment Series 4 GB DDR3 1600MHz
AMD Radeon R5 Entertainment Series 8 GB DDR3 1600MHz
AMD Radeon R5 Entertainment Series 8 GB DDR3 1600MHz
AMD Radeon R9 Gamer Series 8 GB DDR3 2133MHz
Antec Katana RGB 16 GB DDR4 3200MHz
Antec Katana RGB 16 GB DDR4 3600MHz
Apacer Commando 16 GB DDR4 2666MHz
Apacer Commando 16 GB DDR4 2400MHz
Apacer Commando 16 GB DDR4 2666MHz
Apacer Commando 16 GB DDR4 2400MHz
Apacer Commando 32 GB DDR4 2666MHz
Apacer Commando 32 GB DDR4 2400MHz
Apacer Commando 32 GB DDR4 2666MHz
Apacer Commando 32 GB DDR4 2400MHz
Apacer Panther Silver 16 GB DDR4 2400MHz
Apacer Panther Silver 8 GB DDR4 2400MHz
Apacer Panther-Golden 8 GB DDR4 2666MHz
Apacer Panther-Golden 8 GB DDR4 2400MHz
Apacer Panther-Golden 8 GB DDR4 2133MHz
Apotop L3A4Gx1-16CBDA 4 GB DDR3 1600MHz
Apotop L3A4Gx2-16CBDA 8 GB DDR3 1600MHz
Apotop S3A4Gx1-13C9EB 4 GB DDR3 1333MHz
Apotop U3A2Gx2-16C9BB 4 GB DDR3 1600MHz
Apotop U3A4Gx1-16C9GB 4 GB DDR3 1600MHz
Apotop U3A4Gx1-16CBWB 4 GB DDR3 1600MHz
Apotop U3A4Gx2-16C9BB 8 GB DDR3 1600MHz
Apotop U3A4Gx2-16C9GB 8 GB DDR3 1600MHz
Apotop U3A4Gx2-16CACB 8 GB DDR3 1600MHz
Apotop U3A4Gx2-16CBWB 8 GB DDR3 1600MHz
Apotop U3A4Gx2-18C9GB 8 GB DDR3 1866MHz
Apotop U3A4Gx2-18C9PB 8 GB DDR3 1866MHz
Apotop U3A4Gx2-21C9GC 8 GB DDR3 2133MHz
Apotop U3A4Gx2-21C9PC 8 GB DDR3 2133MHz
Apotop U3A8Gx1-16C9GB 8 GB DDR3 1600MHz
Apotop U3A8Gx1-16CBWB 8 GB DDR3 1600MHz
Apotop U3A8Gx2-16C9AB 16 GB DDR3 1600MHz
Apotop U3A8Gx2-16C9BB 16 GB DDR3 1600MHz
Apotop U3A8Gx2-16C9GB 16 GB DDR3 1600MHz
Apotop U3A8Gx2-16CACB 16 GB DDR3 1600MHz
Apotop U3A8Gx2-16CBWB 16 GB DDR3 1600MHz
Apotop U3A8Gx2-18C9AB 16 GB DDR3 1866MHz
Apotop U3A8Gx2-18C9GB 16 GB DDR3 1866MHz
Apotop U3A8Gx2-18C9PB 16 GB DDR3 1866MHz
Apotop U3A8Gx2-21C9AC 16 GB DDR3 2133MHz
Apotop U3A8Gx2-21C9GC 16 GB DDR3 2133MHz
Apotop U3A8Gx2-21C9PC 16 GB DDR3 2133MHz
Apotop U3A8Gx4-16C9AB 32 GB DDR3 1600MHz
Apotop U3A8Gx4-16C9BB 32 GB DDR3 1600MHz
Apotop U3A8Gx4-18C9AB 32 GB DDR3 1866MHz
Apotop U3A8Gx4-21C9AC 32 GB DDR3 2133MHz
Avexir AVD4SZ121331508G-1B 8 GB DDR4 2133MHz
Avexir Apple Memory 16 GB DDR3 1333MHz
Avexir Apple Memory 8 GB DDR3 1333MHz
Avexir Blitz 1.1 16 GB DDR3 2133MHz
Avexir Blitz 1.1 16 GB DDR3 2400MHz
Avexir Blitz 1.1 16 GB DDR3 2400MHz
Avexir Blitz 1.1 32 GB DDR3 2400MHz
Avexir Blitz 1.1 8 GB DDR3 2400MHz
Avexir Blitz 1.1 8 GB DDR3 2133MHz
Avexir Blitz 1.1 8 GB DDR3 2400MHz
Avexir Blitz 1.1 8 GB DDR3 3200MHz
Avexir Blitz 1.1 Series 16 GB DDR3 1866MHz
Avexir Blitz 1.1 Series 8 GB DDR3 2933MHz
Avexir Blitz 1.1 Series 8 GB DDR3 1866MHz
Avexir Blitz 16 GB DDR4 3200MHz
Avexir Blitz 16 GB DDR4 3200MHz
Avexir Blitz 16 GB DDR3 1600MHz
Avexir Blitz 16 GB DDR4 3200MHz
Avexir Blitz 16 GB DDR4 3200MHz
Avexir Blitz 32 GB DDR4 3200MHz
Avexir Blitz 32 GB DDR4 3200MHz
Avexir Blitz 8 GB DDR3 2400MHz
Avexir Blitz 8 GB DDR4 3200MHz
Avexir Blitz 8 GB DDR4 3200MHz
Avexir Blitz 8 GB DDR3 2400MHz
Avexir Blitz 8 GB DDR3 1600MHz
Avexir Blitz1.1 16 GB DDR3 1600MHz
Avexir Blitz1.1 16 GB DDR3 1866MHz
Avexir Blitz1.1 16 GB DDR3 2000MHz
Avexir Blitz1.1 16 GB DDR4 2800MHz
Avexir Blitz1.1 16 GB DDR3 2000MHz
Avexir Blitz1.1 16 GB DDR3 2133MHz
Avexir Blitz1.1 16 GB DDR3 2133MHz
Avexir Blitz1.1 16 GB DDR3 1600MHz
Avexir Blitz1.1 16 GB DDR3 2133MHz
Avexir Blitz1.1 16 GB DDR3 1866MHz
Avexir Blitz1.1 16 GB DDR3 1866MHz
Avexir Blitz1.1 16 GB DDR4 3000MHz
Avexir Blitz1.1 16 GB DDR3 2400MHz
Avexir Blitz1.1 16 GB DDR3 1600MHz
Avexir Blitz1.1 16 GB DDR3 1866MHz
Avexir Blitz1.1 16 GB DDR3 2133MHz
Avexir Blitz1.1 16 GB DDR3 2400MHz
Avexir Blitz1.1 16 GB DDR3 1866MHz
Avexir Blitz1.1 16 GB DDR3 2400MHz
Avexir Blitz1.1 16 GB DDR3 2000MHz
Avexir Blitz1.1 16 GB DDR3 2000MHz
Avexir Blitz1.1 8 GB DDR3 1600MHz
Avexir Blitz1.1 8 GB DDR3 1866MHz
Avexir Blitz1.1 8 GB DDR3 1600MHz
Avexir Blitz1.1 8 GB DDR3 1866MHz
Avexir Blitz1.1 8 GB DDR3 2000MHz
Avexir Blitz1.1 8 GB DDR3 2133MHz
Avexir Blitz1.1 8 GB DDR3 1866MHz
Avexir Blitz1.1 8 GB DDR3 1600MHz
Avexir Blitz1.1 8 GB DDR3 1866MHz
Avexir Blitz1.1 8 GB DDR3 2000MHz
Avexir Blitz1.1 8 GB DDR3 2133MHz
Avexir Blitz1.1 8 GB DDR3 2000MHz
Avexir Blitz1.1 8 GB DDR3 2133MHz
Avexir Blitz1.1 8 GB DDR3 2000MHz
Avexir Blitz1.1 8 GB DDR3 1866MHz
Avexir Blitz1.1 8 GB DDR3 2133MHz
Avexir Blitz1.1 8 GB DDR4 2800MHz
Avexir Blitz1.1 8 GB DDR3 2400MHz
Avexir Budget Series 4 GB DDR4 2133MHz
Avexir Budget Series 4 GB DDR3 1333MHz
Avexir Budget Series 4 GB DDR3 1600MHz
Avexir Budget Series 8 GB DDR3 1333MHz
Avexir Budget Series 8 GB DDR4 2133MHz
Avexir Budget Series 8 GB DDR3 1600MHz
Avexir Core 16 GB DDR3 1600MHz
Avexir Core 16 GB DDR3 2133MHz
Avexir Core 16 GB DDR3 2400MHz
Avexir Core 8 GB DDR3 2800MHz
Avexir Core 8 GB DDR3 2933MHz
Avexir Core 8 GB DDR3 2133MHz
Avexir Core 8 GB DDR3 2666MHz
Avexir Core 8 GB DDR3 2133MHz
Avexir Core Amber White 32 GB DDR4 2666MHz
Avexir Core Blue 16 GB DDR4 2666MHz
Avexir Core Blue 32 GB DDR4 2666MHz
Avexir Core Blue 32 GB DDR4 2400MHz
Avexir Core Series 16 GB DDR3 2400MHz
Avexir Core Series 16 GB DDR3 1600MHz
Avexir Core Series 16 GB DDR4 2400MHz
Avexir Core Series 16 GB DDR4 2400MHz
Avexir Core Series 16 GB DDR3 1600MHz
Avexir Core Series 16 GB DDR3 2133MHz
Avexir Core Series 16 GB DDR3 1600MHz
Avexir Core Series 16 GB DDR4 2666MHz
Avexir Core Series 16 GB DDR3 1866MHz
Avexir Core Series 16 GB DDR4 2666MHz
Avexir Core Series 16 GB DDR4 2400MHz
Avexir Core Series 16 GB DDR3 2400MHz
Avexir Core Series 16 GB DDR3 2133MHz
Avexir Core Series 16 GB DDR3 1600MHz
Avexir Core Series 16 GB DDR3 2800MHz
